iana_id,name,domain_count,rdap_url,gateway_provider,rdap_service,category,duplicate,website,whois_server,status
1499,Ghana Dot Com Ltd.,303.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3243,"Sky Clear Co., Ltd.",277.0,rdap.rrpproxy.net,LogicBoxes,Key-Systems Gateway (rrpproxy.net),GATEWAY,228 Moniker Online Services LLC,,,
3244,"Dai Nippon Joho System Co., Ltd.",275.0,rdap.rrpproxy.net,LogicBoxes,Key-Systems Gateway (rrpproxy.net),GATEWAY,228 Moniker Online Services LLC,,,
3242,"WingNames Co., Ltd.",269.0,rdap.rrpproxy.net,LogicBoxes,Key-Systems Gateway (rrpproxy.net),GATEWAY,228 Moniker Online Services LLC,,,
2486,Ednit Software Private Limited,266.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1745,LogicBoxes Naming Services Ltd,244.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3226,PE Overseas Limited,239.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
844,Minds and Machines Registrar UK Limited,138.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1119,"Extremely Wild, LLC",76.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1104,"Name To Fame, LLC",65.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1143,"Your Domain King, LLC",62.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1130,"Ever Ready Names, LLC",61.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1148,"Jumbo Name, LLC",61.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1107,"Tech Tyrants, LLC",61.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1129,"Extend Names, LLC",60.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1126,"Yellow Start, LLC",60.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1145,"Big Domain Shop, LLC",58.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1121,"Go Full House, LLC",58.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1123,"Magic Friday, LLC",58.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
957,"Titanic Hosting, LLC",58.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1106,"Unified Servers, LLC",58.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
829,"Anytime Sites, LLC",56.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1122,"Key Registrar, LLC",56.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1664,"Namware.com, LLC",56.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1120,"Game For Names, LLC",55.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1144,"The Registrar Service, LLC",55.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1113,"Instinct Solutions, LLC",54.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1117,"Platinum Registrar, LLC",54.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3844,"AppCroNix Infotech Private Limited, d/b/a VEBONIX.com",53.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1101,"Power Carrier, LLC",53.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1105,"Unpower, LLC",53.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1124,"Need Servers, LLC",52.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
986,"Mighty Bay, LLC",51.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1127,"Zone Casting, LLC",49.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1665,"Vertex names.com, LLC",47.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
