category,domain_count,duplicate,gateway_provider,iana_id,name,notes,rdap_service,rdap_url,status,website,website_confidence,website_source,whois_server
,4253.0,84 UK-2 Limited,LogicBoxes,1364,Kheweul.com SA,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.kheweul.com,medium,name_pattern,
,3339.0,84 UK-2 Limited,LogicBoxes,1326,"Webair Internet Development, Inc.",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.webairdevelopment.com,medium,name_pattern,
,3111.0,84 UK-2 Limited,LogicBoxes,249,Mps Infotecnics Limited,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.mpsinfotecnics.com,medium,name_pattern,
,2537.0,84 UK-2 Limited,LogicBoxes,816,"0101 Internet, Inc.",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.0101.com,medium,name_pattern,
,2390.0,84 UK-2 Limited,LogicBoxes,1508,TOGLODO S.A.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.toglodo.com,medium,name_pattern,
,2381.0,84 UK-2 Limited,LogicBoxes,836,The Namespace Group Pty Ltd,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.namespacegroup.com,medium,name_pattern,
,2276.0,84 UK-2 Limited,LogicBoxes,835,KuwaitNET General Trading Co.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,,,,
,2094.0,84 UK-2 Limited,LogicBoxes,987,"Imperial Registrations, Inc.",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.imperialregistrations.com,medium,name_pattern,
,1395.0,84 UK-2 Limited,LogicBoxes,1917,MainReg Inc.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.mainreg.com,medium,name_pattern,
,1186.0,84 UK-2 Limited,LogicBoxes,1661,"Domdrill.com, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.domdrill.com,medium,name_pattern,
,1182.0,84 UK-2 Limited,LogicBoxes,1118,"Crystal Coal, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.crystalcoal.com,medium,name_pattern,
,1171.0,84 UK-2 Limited,LogicBoxes,1492,NEEN S.p.A.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,,,,
,1156.0,84 UK-2 Limited,LogicBoxes,935,"Commerce Island, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.commercei.com,medium,name_pattern,
,1067.0,84 UK-2 Limited,LogicBoxes,1085,"Click Registrar, LLC dba publicdomainregistry.com",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.publicdomainregistry.com,medium,name_pattern,
,1065.0,84 UK-2 Limited,LogicBoxes,1083,"Curious Net, LLC",European hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://web-solutions.eu,,known_mapping,
,971.0,84 UK-2 Limited,LogicBoxes,961,"Rank USA, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.ranku.com,medium,name_pattern,
,970.0,84 UK-2 Limited,LogicBoxes,3804,Edomains LLC,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.edomains.com,medium,name_pattern,
,958.0,84 UK-2 Limited,LogicBoxes,939,"Desert Devil, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.desertdevil.com,medium,name_pattern,
,851.0,84 UK-2 Limited,LogicBoxes,1003,"Ekados, Inc., d/b/a groundregistry.com",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.groundregistry.com,medium,name_pattern,
,739.0,84 UK-2 Limited,LogicBoxes,3801,Buzinessware FZCO,,LogicBoxes Core (rdapserver.net),rdapserver.net,,,,,
,632.0,84 UK-2 Limited,LogicBoxes,3768,First Alliance Group Ltd T/A Netclues Inc,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.firstalliancegroup.com,medium,name_pattern,
,499.0,84 UK-2 Limited,LogicBoxes,831,"Crisp Names, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.crispnames.com,medium,name_pattern,
,303.0,84 UK-2 Limited,LogicBoxes,1499,Ghana Dot Com Ltd.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.ghanadotcom.com,medium,name_pattern,
GATEWAY,277.0,228 Moniker Online Services LLC,LogicBoxes,3243,"Sky Clear Co., Ltd.",,Key-Systems Gateway (rrpproxy.net),rdap.rrpproxy.net,,https://www.skyclearco.com,medium,name_pattern,
GATEWAY,275.0,228 Moniker Online Services LLC,LogicBoxes,3244,"Dai Nippon Joho System Co., Ltd.",,Key-Systems Gateway (rrpproxy.net),rdap.rrpproxy.net,,https://www.dainipponjohosystemco.com,medium,name_pattern,
GATEWAY,269.0,228 Moniker Online Services LLC,LogicBoxes,3242,"WingNames Co., Ltd.",,Key-Systems Gateway (rrpproxy.net),rdap.rrpproxy.net,,https://www.wingnamesco.com,medium,name_pattern,
,266.0,84 UK-2 Limited,LogicBoxes,2486,Ednit Software Private Limited,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.ednitprivate.com,medium,name_pattern,
,244.0,84 UK-2 Limited,LogicBoxes,1745,LogicBoxes Naming Services Ltd,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.logicboxesnaming.com,medium,name_pattern,
,239.0,84 UK-2 Limited,LogicBoxes,3226,PE Overseas Limited,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.peoverse.com,medium,name_pattern,
,138.0,84 UK-2 Limited,LogicBoxes,844,Minds and Machines Registrar UK Limited,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.mindsandmachinesuk.com,medium,name_pattern,
,76.0,84 UK-2 Limited,LogicBoxes,1119,"Extremely Wild, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.extremelywild.com,medium,name_pattern,
,65.0,84 UK-2 Limited,LogicBoxes,1104,"Name To Fame, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.nametofame.com,medium,name_pattern,
,62.0,84 UK-2 Limited,LogicBoxes,1143,"Your Domain King, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.yourking.com,medium,name_pattern,
,61.0,84 UK-2 Limited,LogicBoxes,1130,"Ever Ready Names, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.everreadynames.com,medium,name_pattern,
,61.0,84 UK-2 Limited,LogicBoxes,1148,"Jumbo Name, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.jumboname.com,medium,name_pattern,
,61.0,84 UK-2 Limited,LogicBoxes,1107,"Tech Tyrants, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.tyrants.com,medium,name_pattern,
,60.0,84 UK-2 Limited,LogicBoxes,1129,"Extend Names, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.extendnames.com,medium,name_pattern,
,60.0,84 UK-2 Limited,LogicBoxes,1126,"Yellow Start, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.yellowstart.com,medium,name_pattern,
,58.0,84 UK-2 Limited,LogicBoxes,1145,"Big Domain Shop, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.bigshop.com,medium,name_pattern,
,58.0,84 UK-2 Limited,LogicBoxes,1121,"Go Full House, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.gofullhouse.com,medium,name_pattern,
,58.0,84 UK-2 Limited,LogicBoxes,1123,"Magic Friday, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,,,,
,58.0,84 UK-2 Limited,LogicBoxes,957,"Titanic Hosting, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.titanichosting.com,medium,name_pattern,
,58.0,84 UK-2 Limited,LogicBoxes,1106,"Unified Servers, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.unifiedservers.com,medium,name_pattern,
,56.0,84 UK-2 Limited,LogicBoxes,829,"Anytime Sites, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.anytimesites.com,medium,name_pattern,
,56.0,84 UK-2 Limited,LogicBoxes,1122,"Key Registrar, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.key.com,medium,name_pattern,
,56.0,84 UK-2 Limited,LogicBoxes,1664,"Namware.com, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.namware.com,medium,name_pattern,
,55.0,84 UK-2 Limited,LogicBoxes,1120,"Game For Names, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.gamefornames.com,medium,name_pattern,
,55.0,84 UK-2 Limited,LogicBoxes,1144,"The Registrar Service, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,,,,
,54.0,84 UK-2 Limited,LogicBoxes,1113,"Instinct Solutions, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.inst.com,medium,name_pattern,
,54.0,84 UK-2 Limited,LogicBoxes,1117,"Platinum Registrar, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.platinum.com,medium,name_pattern,
,53.0,84 UK-2 Limited,LogicBoxes,3844,"AppCroNix Infotech Private Limited, d/b/a VEBONIX.com",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.vebonix.com,medium,name_pattern,
,53.0,84 UK-2 Limited,LogicBoxes,1101,"Power Carrier, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.powercarrier.com,medium,name_pattern,
,53.0,84 UK-2 Limited,LogicBoxes,1105,"Unpower, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.unpower.com,medium,name_pattern,
,52.0,84 UK-2 Limited,LogicBoxes,1124,"Need Servers, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.needservers.com,medium,name_pattern,
,51.0,84 UK-2 Limited,LogicBoxes,986,"Mighty Bay, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.mightybay.com,medium,name_pattern,
,49.0,84 UK-2 Limited,LogicBoxes,1127,"Zone Casting, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.zonec.com,medium,name_pattern,
,47.0,84 UK-2 Limited,LogicBoxes,1665,"Vertex names.com, LLC",UK hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.easyspace.com,,known_mapping,
,46.0,84 UK-2 Limited,LogicBoxes,1098,"Domain Mantra, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.mantra.com,medium,name_pattern,
,46.0,84 UK-2 Limited,LogicBoxes,1115,"Visual Monster, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.visualmonster.com,medium,name_pattern,
,45.0,84 UK-2 Limited,LogicBoxes,1093,"Cool Ocean, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.coolocean.com,medium,name_pattern,
,45.0,84 UK-2 Limited,LogicBoxes,1125,"Name Perfections, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.nameperfections.com,medium,name_pattern,
,44.0,84 UK-2 Limited,LogicBoxes,1099,"Domain Band, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.band.com,medium,name_pattern,
,42.0,84 UK-2 Limited,LogicBoxes,1096,"Find Good Domains, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.findgooddomains.com,medium,name_pattern,
,41.0,84 UK-2 Limited,LogicBoxes,1128,"Power Namers, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.powernamers.com,medium,name_pattern,
,40.0,84 UK-2 Limited,LogicBoxes,1108,"Ultra Registrar, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.ultra.com,medium,name_pattern,
,39.0,84 UK-2 Limited,LogicBoxes,937,"Blue Fractal, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.bluefractal.com,medium,name_pattern,
,37.0,84 UK-2 Limited,LogicBoxes,1100,"Net Juggler, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.netjuggler.com,medium,name_pattern,
,37.0,84 UK-2 Limited,LogicBoxes,1109,"Trade Starter, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.tradestarter.com,medium,name_pattern,
,30.0,84 UK-2 Limited,LogicBoxes,1663,"Hotdomaintrade.com, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.hotdomaintrade.com,medium,name_pattern,
,29.0,84 UK-2 Limited,LogicBoxes,1102,"Network Savior, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.network.com,medium,name_pattern,
,29.0,84 UK-2 Limited,LogicBoxes,959,"Tropic Management Systems, Inc.",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.tropicman.com,medium,name_pattern,
,16.0,84 UK-2 Limited,LogicBoxes,1147,"Super Name World, LLC",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.supernameworld.com,medium,name_pattern,
,9.0,84 UK-2 Limited,LogicBoxes,1332,Experinom Inc.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.experinom.com,medium,name_pattern,
